file,species
288564c76.png,Sugar beet
b573b7a56.png,Loose Silky-bent
1d48b7564.png,Fat Hen
c0d9e170b.png,Small-flowered Cranesbill
e19673dc9.png,Sugar beet
be2499cf4.png,Common wheat
752101fdf.png,Small-flowered Cranesbill
0d31e6602.png,Common Chickweed
afcf6abd5.png,Common Chickweed
0bf7bfb05.png,Common wheat
c2de6020a.png,Small-flowered Cranesbill
b341d0aab.png,Common Chickweed
550a8b7e6.png,Small-flowered Cranesbill
7b52585da.png,Sugar beet
da9ef7858.png,Charlock
78750e0ff.png,Charlock
2406d6c99.png,Common Chickweed
dabe3e5be.png,Small-flowered Cranesbill
d09275360.png,Sugar beet
4b032563b.png,Common Chickweed
37e545a60.png,Common Chickweed
5ee9d0a5b.png,Loose Silky-bent
d09d24c58.png,Loose Silky-bent
bb20fce02.png,Scentless Mayweed
24d78df74.png,Common Chickweed
5eb9c26a6.png,Fat Hen
205df1df3.png,Scentless Mayweed
6dd095129.png,Common Chickweed
ad12382d4.png,Loose Silky-bent
490c4f9c8.png,Common wheat
0c45ace27.png,Common Chickweed
8cf909eb3.png,Sugar beet
cbe761896.png,Charlock
837ac0270.png,Scentless Mayweed
a800caead.png,Sugar beet
b7192c70f.png,Common wheat
fa5fd1384.png,Small-flowered Cranesbill
248436078.png,Charlock
fc3e58836.png,Scentless Mayweed
3185294c8.png,Sugar beet
a55d26a4c.png,Common Chickweed
7a38416be.png,Charlock
0c4199daa.png,Loose Silky-bent
5bc6595f6.png,Maize
c63da993b.png,Sugar beet
b3e08b037.png,Scentless Mayweed
d9c50616e.png,Sugar beet
23bc8ec4f.png,Common Chickweed
c069fc3fa.png,Sugar beet
47b7d8e17.png,Maize
089ad62a7.png,Common Chickweed
a5db42f7d.png,Maize
116b136de.png,Sugar beet
d0152bd7c.png,Scentless Mayweed
659412b1a.png,Loose Silky-bent
2e86f1085.png,Scentless Mayweed
599c82eea.png,Scentless Mayweed
9cce7328c.png,Loose Silky-bent
800a8c17e.png,Scentless Mayweed
ffc6f8527.png,Common wheat
bb64660b7.png,Sugar beet
446f7da01.png,Sugar beet
a74bf916d.png,Small-flowered Cranesbill
c7b07431e.png,Scentless Mayweed
780defa2e.png,Common Chickweed
6049234e6.png,Scentless Mayweed
8d6acbe9b.png,Common Chickweed
52dc7a4d6.png,Common Chickweed
20817c846.png,Scentless Mayweed
675ec1b0b.png,Sugar beet
647689543.png,Loose Silky-bent
79fba50db.png,Common Chickweed
54c8bb900.png,Charlock
71b232519.png,Loose Silky-bent
8455169fe.png,Common wheat
76dbd1054.png,Scentless Mayweed
523e5505c.png,Fat Hen
3efa1f66c.png,Loose Silky-bent
aecfaed64.png,Common Chickweed
063363305.png,Maize
c35efa095.png,Scentless Mayweed
4e9d3765f.png,Charlock
4f44ca525.png,Common Chickweed
67e185673.png,Sugar beet
a2d25b4f3.png,Small-flowered Cranesbill
c0bc3997b.png,Scentless Mayweed
a38b8a581.png,Sugar beet
03ef36742.png,Scentless Mayweed
0caeda5df.png,Common wheat
3eebd36c6.png,Charlock
0ebf8f2f4.png,Shepherds Purse
808578ed5.png,Scentless Mayweed
3f92d8039.png,Loose Silky-bent
ac3193f78.png,Common Chickweed
d0cdc768f.png,Common wheat
ab35453cb.png,Cleavers
6680836dd.png,Sugar beet
406ecb5c5.png,Charlock
1dc7c45df.png,Loose Silky-bent
0e8492cb1.png,Sugar beet
2693e5c65.png,Charlock
711b46fba.png,Small-flowered Cranesbill
02cfeb38d.png,Loose Silky-bent
f593c9cf0.png,Sugar beet
d515398fd.png,Loose Silky-bent
63c07d340.png,Sugar beet
e4d5ec761.png,Loose Silky-bent
0911d3dee.png,Common Chickweed
6db684fff.png,Scentless Mayweed
a8b431a3e.png,Sugar beet
3ebbe9ca4.png,Charlock
8170d33c1.png,Maize
1541bdb2e.png,Maize
1bf9b94a6.png,Scentless Mayweed
b3d6fdb80.png,Shepherds Purse
6a41bf95b.png,Scentless Mayweed
df11d56a7.png,Sugar beet
03e322a29.png,Sugar beet
8b043093d.png,Sugar beet
7e9cf1c46.png,Common Chickweed
d563be369.png,Scentless Mayweed
fea355851.png,Loose Silky-bent
20e562fd5.png,Sugar beet
61b044411.png,Scentless Mayweed
b31292706.png,Common Chickweed
2d5058a59.png,Common Chickweed
59e1cea8d.png,Cleavers
f1e87cba7.png,Loose Silky-bent
1b490196c.png,Charlock
8585f9718.png,Loose Silky-bent
88d8a4508.png,Scentless Mayweed
e6f1211a2.png,Sugar beet
6a47821f9.png,Loose Silky-bent
e19ad6ac9.png,Sugar beet
59b2c6f2b.png,Common Chickweed
827279bad.png,Scentless Mayweed
17a78fb44.png,Common wheat
502dff972.png,Small-flowered Cranesbill
37297a64c.png,Common Chickweed
6b9d6f8c9.png,Sugar beet
eec1079a1.png,Charlock
2f0004a7f.png,Common wheat
a276c65f7.png,Loose Silky-bent
43ede9de9.png,Charlock
279df95f2.png,Sugar beet
f4234cf4f.png,Scentless Mayweed
c5e88cd42.png,Common Chickweed
b39c71707.png,Common Chickweed
3a909ead8.png,Sugar beet
f0ffa00bd.png,Sugar beet
79dafec17.png,Loose Silky-bent
90d119d25.png,Scentless Mayweed
0f6cbe5e8.png,Maize
bea23d9f8.png,Scentless Mayweed
219fd68d5.png,Scentless Mayweed
d6d80a321.png,Scentless Mayweed
e5e3dccff.png,Common wheat
653193c1a.png,Common wheat
c8f50f0c3.png,Common wheat
da4ed3a28.png,Charlock
4bbf1f6ea.png,Scentless Mayweed
043449b0b.png,Sugar beet
2ff5cb348.png,Sugar beet
60ee66ddd.png,Cleavers
e15472085.png,Small-flowered Cranesbill
7691014a1.png,Small-flowered Cranesbill
35a90f8d0.png,Sugar beet
f9ea23fb5.png,Scentless Mayweed
33448fe39.png,Loose Silky-bent
11d3f68ff.png,Loose Silky-bent
1694a70e4.png,Scentless Mayweed
f4ad9d950.png,Sugar beet
892e9d6c6.png,Scentless Mayweed
cb76a7766.png,Loose Silky-bent
16fd2e01a.png,Sugar beet
9d3cb4745.png,Common wheat
d5f7dd60a.png,Sugar beet
cb496f36e.png,Loose Silky-bent
148bbda66.png,Sugar beet
3bbef3ecb.png,Scentless Mayweed
721b2c47a.png,Scentless Mayweed
d668409ff.png,Sugar beet
16467a950.png,Loose Silky-bent
c26ccf73c.png,Common Chickweed
ef02b4ee7.png,Sugar beet
